Identifier,City,Province/Territory,Calculated Exposure Day 7,Radon(mrem),External Terrestrial (mrem),Cosmic (mrem),Ingestion (mrem),Total (mrem)
c7ac3b2b-09d0-445f-809f-408a1c8456d4,Eganville,Ontario,0.02,62.9,35,24,30.6,152.48
d12248d8-f494-4b00-a9fd-e69e82abccb8,Nepean,Ontario,0.161,62.9,24,35,30.6,152.339
d9e458d6-b7ce-4bf1-8ba3-62958a948c59,Trenton,Ontario,0.057692308,314.5,17.8,35,30.6,397.8423077
e252569c-3a8f-4ee0-850b-34aa38011db4,Coquitlam,British Columbia,0.088888889,62.9,10.5,45,30.6,148.9111111
e5e41b63-370f-44f3-9a50-dc79cf9c884b,Oakville,Ontario,0.088888889,188.7,17.8,35,30.6,272.0111111
e5e41b63-370f-44f3-9a50-dc79cf9c884b,Oakville,Ontario,0.132,188.7,17.8,35,30.6,271.968
e5e41b63-370f-44f3-9a50-dc79cf9c884b,Oakville,Ontario,0.1132,188.7,17.8,35,30.6,271.9868
e5e41b63-370f-44f3-9a50-dc79cf9c884b,Oakville,Ontario,0.075471698,188.7,17.8,35,30.6,272.0245283
f67c875d-efc7-462a-9c19-6cbb18774fe9,Toronto,Ontario,0.08,188.7,17.8,35,30.6,272.02
faf2b946-8817-4d71-a1f1-2e9b5075b303,St-Felix-de-Valois,Quebec,0.272727273,62.9,27.8,37.5,30.6,158.5272727
fb1afc76-5b15-4ded-9e8f-d38213229c26,Hamilton,Ontario,0.078431,188.7,17.8,35,30.6,272.021569
